학교종류명,설립구분,표준학교코드,학교명,영문학교명,관할조직명,도로명우편번호,도로명주소,도로명상세주소,전화번호,홈페이지주소,팩스번호,남녀공학구분명,고등학교구분명,산업체특별학급존재여부,고등학교일반실업구분명,특수목적고등학교계열명,입시전후기구분명,주야구분명,설립일자,개교기념일,시도교육청코드,시도교육청명,소재지명,주야과정,계열명,학과명,적재일시,location,위도,경도
초등학교,공립,7091496,서울개현초등학교,Seoul Gaehyeon Elementary School,서울특별시강남서초교육지원청,6321,서울특별시 강남구 선릉로 15,(개포동),02-2138-1937,http://,02-2138-1938,남여공학,,N,,,전기,주간,20240301,20240304,B10,서울특별시교육청,서울특별시,,,,20240303,"서울개현초등학교, 15, 선릉로, 개포1동, 강남구, 서울특별시, 06321, 대한민국",37.4809812,127.0616882
초등학교,공립,7091469,서울자곡초등학교,Seoul Jagok Elementary School,서울특별시강남서초교육지원청,6373,서울특별시 강남구 자곡로 150,(자곡동),02-3413-8700,http://www.jagok.es.kr,02-3414-0030,남여공학,,N,,,전기,주간,20140901,20141024,B10,서울특별시교육청,서울특별시,,,,20230615,"자곡로, 은곡마을, 세곡동, 강남구, 서울특별시, 06375, 대한민국",37.4654196,127.0951668
초등학교,공립,7091468,서울율현초등학교,Seoul Yulhyeon Elementary School,서울특별시강남서초교육지원청,6370,서울특별시 강남구 밤고개로21길 15,/ 서울율현초등학교 (자곡동),02-3413-8804,http://www.yulhyeon.es.kr,02-3413-8880,남여공학,,N,,,전기,주간,20140828,20140828,B10,서울특별시교육청,서울특별시,,,,20230615,"서울율현초등학교, 15, 밤고개로21길, 율현동, 세곡동, 강남구, 서울특별시, 06370, 대한민국",37.4745666,127.1083009
초등학교,공립,7091458,서울세명초등학교,Seoul Semyung Elementary School,서울특별시강남서초교육지원청,6375,서울특별시 강남구 자곡로 55,/ 서울세명초등학교 (세곡동),02-2040-0800,http://www.semyung.es.kr,02-451-6226,남여공학,,N,,,전기,주간,20120830,20121030,B10,서울특별시교육청,서울특별시,,,,20230615,"자곡로, 방죽마을, 세곡동, 강남구, 서울특별시, 06373, 대한민국",37.4742868,127.1044784
초등학교,공립,7091418,서울학동초등학교,Seoul Hakdong Elementary School,서울특별시강남서초교육지원청,6100,서울특별시 강남구 선릉로115길 42,/ 서울학동초등학교 (논현동),02-546-5185,http://hakdong.sen.es.kr/,02-546-6474,남여공학,,N,일반계,,전기,주간,19790126,19790411,B10,서울특별시교육청,서울특별시,,,,20230615,"선릉로115길, 논현2동, 강남구, 서울특별시, 06100, 대한민국",37.5118671,127.0411808
초등학교,공립,7091417,서울포이초등학교,Seoul Po-i Elementary School,서울특별시강남서초교육지원청,6311,서울특별시 강남구 개포로22길 87,/ 서울포이초등학교 (개포동/포이초등학교),02-578-7334,http://poi.sen.es.kr,02-6009-5310,남여공학,,N,일반계,,전기,주간,19901024,19901024,B10,서울특별시교육청,서울특별시,,,,20230615,"서울포이초등학교, 87, 개포로22길, 개포4동, 강남구, 서울특별시, 06311, 대한민국",37.4756705,127.0524703
초등학교,공립,7091416,서울청담초등학교,Seoul Cheongdam Elementary School,서울특별시강남서초교육지원청,6010,서울특별시 강남구 압구정로71길 9,(청담동/청담초등학교),02-542-3779,http://www.cheongdam.es.kr,02-3446-7080,남여공학,,N,일반계,,전기,주간,19800301,19800404,B10,서울특별시교육청,서울특별시,,,,20230615,"압구정로71길, 청담동, 강남구, 서울특별시, 06010, 대한민국",37.5282214,127.0460405
초등학교,공립,7091414,서울일원초등학교,Seoul Ilwon Elementary School,서울특별시강남서초교육지원청,6345,서울특별시 강남구 영동대로4길 20,(일원동/일원초등학교),02-445-8815,www.ilwon.es.kr,02-445-6306,남여공학,,N,일반계,,전기,주간,19841010,19841010,B10,서울특별시교육청,서울특별시,,,,20230615,"서울일원초등학교, 20, 영동대로4길, 개포동, 개포2동, 강남구, 서울특별시, 06345, 대한민국",37.4894424,127.0764023
초등학교,공립,7091409,서울왕북초등학교,Seoul Wangbuk Elementary School,서울특별시강남서초교육지원청,6353,서울특별시 강남구 광평로31길 74,(수서동/왕북초등학교),02-451-5073,http://www.wangbuk.es.kr,02-459-0009,남여공학,,N,일반계,,전기,주간,19631031,19631031,B10,서울특별시교육청,서울특별시,,,,20230615,"광평로31길, 일원동, 일원본동, 강남구, 서울특별시, 06354, 대한민국",37.4854681,127.0898232
초등학교,공립,7091408,서울영희초등학교,Seoul Younghee Elementary School,서울특별시강남서초교육지원청,6338,서울특별시 강남구 일원로 21,(일원동/영희초등학교),02-2226-6016,http://www.younghee.es.kr,02-3411-3133,남여공학,,N,일반계,,전기,주간,19461001,19461001,B10,서울특별시교육청,서울특별시,,,,20230615,"서울영희초등학교, 21, 일원로, 일원1동, 강남구, 서울특별시, 06338, 대한민국",37.4919919,127.0812822
초등학교,공립,7091407,서울역삼초등학교,Seoul Yeoksam Elementary School,서울특별시강남서초교육지원청,6251,서울특별시 강남구 강남대로66길 21,(역삼동/역삼초등학교),02-563-9168,www.yeoksam.es.kr,02-563-9169,남여공학,,N,일반계,,전기,주간,19780721,19790927,B10,서울특별시교육청,서울특별시,,,,20230615,"강남대로66길, 역삼1동, 강남구, 서울특별시, 06252, 대한민국",37.491848,127.0316363
초등학교,공립,7091406,서울언주초등학교,Seoul Eonju Elementary School,서울특별시강남서초교육지원청,6268,서울특별시 강남구 남부순환로363길 19,(도곡동/언주초등학교),02-3462-5285,http://eonju.sen.es.kr/,02-3462-3148,남여공학,,N,일반계,,전기,주간,19270916,19271008,B10,서울특별시교육청,서울특별시,,,,20230615,"남부순환로363길, 도곡동, 도곡1동, 강남구, 서울특별시, 06269, 대한민국",37.4868606,127.0378491
초등학교,공립,7091405,서울언북초등학교,Seoul Eonbuk Elementary School,서울특별시강남서초교육지원청,6066,서울특별시 강남구 삼성로135길 42,(청담동/언북초등학교),02-514-5981,http://www.eonbuk.es.kr,02-514-5984,남여공학,,N,일반계,,전기,주간,19450401,19450401,B10,서울특별시교육청,서울특별시,,,,20230615,"서울언북초등학교, 42, 삼성로135길, 청담동, 강남구, 서울특별시, 06066, 대한민국",37.5200168,127.0456761
초등학교,공립,7091403,서울양전초등학교,Seoul Yangjeon Elementary School,서울특별시강남서초교육지원청,6328,서울특별시 강남구 개포로 513,/ 서울양전초등학교,02-3411-8982,http://yangjeon.es.kr/,02-3411-8986,남여공학,,N,일반계,,전기,주간,19881221,19890506,B10,서울특별시교육청,서울특별시,,,,20230615,"서울양전초등학교, 513, 개포로, 개포동, 개포2동, 강남구, 서울특별시, 06328, 대한민국",37.4903771,127.0700308
초등학교,공립,7091401,서울압구정초등학교,Seoul Apgujeong Elementary School,서울특별시강남서초교육지원청,6004,서울특별시 강남구 압구정로39길 29,(압구정동/압구정초등학교),02-3446-9646,http://www.apgujeong.es.kr/,02-3446-9643,남여공학,,N,일반계,,전기,주간,19760820,19770504,B10,서울특별시교육청,서울특별시,,,,20230615,"29, 압구정로39길, 압구정동, 강남구, 서울특별시, 06004, 대한민국",37.5317271,127.0309643
초등학교,공립,7091398,서울신구초등학교,Seoul Shingu Elementary School,서울특별시강남서초교육지원청,6029,서울특별시 강남구 압구정로18길 28,(신사동/신구초등학교),02-549-6815,http://www.shingu.es.kr,02-549-4393,남여공학,,N,일반계,,전기,주간,19811103,19811103,B10,서울특별시교육청,서울특별시,,,,20230615,"서울신구초등학교, 28, 압구정로18길, 가로수길, 신사동, 강남구, 서울특별시, 06029, 대한민국",37.5235079,127.0245091
초등학교,공립,7091397,서울수서초등학교,Seoul Suseo Elementary School,서울특별시강남서초교육지원청,6348,서울특별시 강남구 광평로51길 46,(수서동/수서초등학교),02-459-1334,http://www.suseo.es.kr,02-459-1410,남여공학,,N,일반계,,전기,주간,19920715,19920715,B10,서울특별시교육청,서울특별시,,,,20230615,"광평로51길, 수서동, 강남구, 서울특별시, 06347, 대한민국",37.4900792,127.1014586
초등학교,공립,7091391,서울삼릉초등학교,Seoul Samreung Elementary School,서울특별시강남서초교육지원청,6097,서울특별시 강남구 봉은사로63길 22,(삼성동/삼릉초등학교),02-545-4502,http://srng.sen.es.kr,02-514-4476,남여공학,,N,일반계,,전기,주간,19850429,19850429,B10,서울특별시교육청,서울특별시,,,,20230615,"봉은사로63길, 삼성2동, 강남구, 서울특별시, 06097, 대한민국",37.5129727,127.0466455
초등학교,공립,7091390,서울봉은초등학교,Seoul Bong-eun Elementary School,서울특별시강남서초교육지원청,6078,서울특별시 강남구 학동로 610,(삼성동/봉은초등학교),02-540-2892,www.bongeun.es.kr,02-545-2697,남여공학,,N,일반계,,전기,주간,19820407,19820407,B10,서울특별시교육청,서울특별시,,,,20230615,"서울봉은초등학교, 610, 학동로, 청담동, 강남구, 서울특별시, 06078, 대한민국",37.5203876,127.06093
초등학교,공립,7091383,서울도성초등학교,Seoul Doseong Elementary School,서울특별시강남서초교육지원청,6213,서울특별시 강남구 역삼로 313,(역삼동/도성초등학교),02-567-0039,http://seouldoseong.sen.es.kr,02-567-0204,남여공학,,N,일반계,,전기,주간,19810613,19810930,B10,서울특별시교육청,서울특별시,,,,20230615,"역삼로, 대치4동, 강남구, 서울특별시, 06202, 대한민국",37.5029063,127.0580661
초등학교,공립,7091382,서울도곡초등학교,Seoul Dogok Elementary School,서울특별시강남서초교육지원청,6205,서울특별시 강남구 선릉로64길 33,(대치동/ 도곡초등학교),02-580-4500,http://dogok.es.kr,02-539-8454,남여공학,,N,일반계,,전기,주간,19740901,19750312,B10,서울특별시교육청,서울특별시,,,,20230615,"서울도곡초등학교, 33, 선릉로64길, 대치4동, 강남구, 서울특별시, 06205, 대한민국",37.4990444,127.0546963
초등학교,공립,7091381,서울대현초등학교,Seoul Daehyun Elementary School,서울특별시강남서초교육지원청,6187,서울특별시 강남구 역삼로98길 16,(대치동/대현초등학교),02-553-6922,http://daehyun.sen.es.kr,02-563-1875,남여공학,,N,일반계,,전기,주간,19841205,19850508,B10,서울특별시교육청,서울특별시,,,,20230615,"역삼로98길, 대치동, 대치2동, 강남구, 서울특별시, 06187, 대한민국",37.5038133,127.0645501
초등학교,공립,7091380,서울대치초등학교,Seoul Daechi Elementary School,서울특별시강남서초교육지원청,6291,서울특별시 강남구 양재천로 363,(대치동/ 대치초등학교),02-555-2455,http://daechi.sen.es.kr/,02-555-2485,남여공학,,N,일반계,,전기,주간,19840509,19840509,B10,서울특별시교육청,서울특별시,,,,20230615,"양재천로, 도곡2동, 강남구, 서울특별시, 06746, 대한민국",37.4808514,127.0439754
초등학교,공립,7091379,서울대청초등학교,Seoul Daecheong Elementary School,서울특별시강남서초교육지원청,6341,서울특별시 강남구 양재대로55길 28,/ 서울대청초등학교 (일원동),02-459-2152,http://www.daecheong.es.kr,02-459-7918,남여공학,,N,일반계,,전기,주간,19930227,19930227,B10,서울특별시교육청,서울특별시,,,,20230615,"양재대로55길, 일원1동, 강남구, 서울특별시, 06342, 대한민국",37.4921097,127.0875885
초등학교,공립,7091378,서울대진초등학교,Seoul Daejin Elementary School,서울특별시강남서초교육지원청,6334,서울특별시 강남구 개포로109길 74,/ 서울대진초등학교 (개포동),02-3412-0472,http://seouldaejin.sen.es.kr,02-3412-0478,남여공학,,N,일반계,,전기,주간,19920715,19921026,B10,서울특별시교육청,서울특별시,,,,20230615,"개포로109길, 대치2단지 아파트, 개포3동, 강남구, 서울특별시, 06335, 대한민국",37.4938605,127.0768669
초등학교,공립,7091377,서울대왕초등학교,Seoul Daewang Elementary School,서울특별시강남서초교육지원청,6365,서울특별시 강남구 헌릉로618길 8,(세곡동/대왕초등학교),02-3412-0122,http://daewang.sen.es.kr,02-3412-0126,남여공학,,N,일반계,,전기,주간,19321125,19330501,B10,서울특별시교육청,서울특별시,,,,20230615,"세곡동 사거리(대왕초등학교 정류장), 8, 헌릉로618길, 아랫반고개, 세곡동, 강남구, 서울특별시, 06365, 대한민국",37.4644025,127.105547
초등학교,공립,7091376,서울대모초등학교,Seoul Daemo Elementary School,서울특별시강남서초교육지원청,6363,서울특별시 강남구 광평로20길 27,/ 대모초등학교 (일원동/대모초등학교),02-2226-3715,daemo.sen.es.kr,02-2226-3750,남여공학,,N,일반계,,전기,주간,19940805,19941014,B10,서울특별시교육청,서울특별시,,,,20230615,"광평로20길, 일원동, 일원본동, 강남구, 서울특별시, 06361, 대한민국",37.4816561,127.0861452
초등학교,공립,7091375,서울대도초등학교,Seoul Daedo Elementary School,서울특별시강남서초교육지원청,6277,서울특별시 강남구 선릉로 209,(도곡동/ 서울대도초등학교),02-3463-5377,http://www.s-daedo.es.kr,02-3462-2507,남여공학,,N,일반계,,전기,주간,19790327,19800327,B10,서울특별시교육청,서울특별시,,,,20230615,"선릉로, 대치4동, 강남구, 서울특별시, 06199, 대한민국",37.4984393,127.051884
초등학교,공립,7091374,서울대곡초등학교,Seoul Daegok Elementary School,서울특별시강남서초교육지원청,6288,서울특별시 강남구 남부순환로 3022,/ 서울대곡초등학교 (대치동/대곡초등학교),02-565-1942,http://seouldaegok.es.kr,02-565-1947,남여공학,,N,일반계,,전기,주간,19810909,19820402,B10,서울특별시교육청,서울특별시,,,,20230615,"남부순환로, 개포3동, 강남구, 서울특별시, 06336, 대한민국",37.4986606,127.0769649
초등학교,공립,7091373,서울논현초등학교,Seoul Nonhyeon Elementary School,서울특별시강남서초교육지원청,6119,서울특별시 강남구 강남대로120길 33,(논현동/논현초등학교),02-514-6636,http://nonhyun.sen.es.kr,02-514-7072,남여공학,,N,일반계,,전기,주간,19721123,19721123,B10,서울특별시교육청,서울특별시,,,,20230615,"강남대로120길, 논현동, 논현1동, 강남구, 서울특별시, 06119, 대한민국",37.5074821,127.0256405
초등학교,공립,7091372,서울구룡초등학교,Seoul Guryong Elementary School,서울특별시강남서초교육지원청,6305,서울특별시 강남구 개포로 263,(개포동/구룡초등학교),02-573-5017,http://www.kuryong.es.kr,02-575-4237,남여공학,,N,일반계,,전기,주간,19831130,19850506,B10,서울특별시교육청,서울특별시,,,,20230615,"서울구룡초등학교, 263, 개포로, 개포4동, 강남구, 서울특별시, 06305, 대한민국",37.4806022,127.0520606
초등학교,공립,7091371,서울개포초등학교,Seoul Gaepo Elementary School,서울특별시강남서초교육지원청,6331,서울특별시 강남구 삼성로4길 30,(개포동/ 개포초등학교),02-6952-4092,https://gaepo.sen.es.kr/,02-6952-4903,남여공학,,N,일반계,,전기,주간,19830510,19830510,B10,서울특별시교육청,서울특별시,,,,20230615,"삼성로4길, 개포동, 개포2동, 강남구, 서울특별시, 06329, 대한민국",37.4866958,127.0692353
초등학교,공립,7091370,서울개일초등학교,Seoul Gaeil Elementary School,서울특별시강남서초교육지원청,6323,서울특별시 강남구 개포로 401,/ 개일초등학교 (개포동/개일초등학교),02-571-8320,http://www.gaeil.es.kr,02-571-8325,남여공학,,N,일반계,,전기,주간,19871117,19871117,B10,서울특별시교육청,서울특별시,,,,20230615,"서울개일초등학교, 401, 개포로, 달터마을, 개포2동, 강남구, 서울특별시, 06323, 대한민국",37.4857103,127.0580384
초등학교,공립,7091369,서울개원초등학교,Seoul Gaewon Elementary School,서울특별시강남서초교육지원청,6321,서울특별시 강남구 선릉로 29,"(개포동,개원초등학교)",02-2138-1940,https://gaewon.sen.es.kr,02-2138-1945,남여공학,,N,일반계,,전기,주간,19820920,19820920,B10,서울특별시교육청,서울특별시,,,,20240623,"29, 선릉로, 개포1동, 강남구, 서울특별시, 06321, 대한민국",37.4814064,127.0585118
